site_id,NDBI,lat,long,collector,ID,date,time_start,time_end,collection_window,weather,temperature,humidity,time_of_first_coll,time_to_first_coll_minutes,spec_first_coll,Total_Ae.aegypti,Females_Ae.aegypti,Total_Ae.albopictus,Females_Ae.albopictus
FMT-201,2,,,E,E,,12:00,13:00,12:00-13:00,,,,12:24,24,Ae. aegypti,1,1,0,0
FMT-201,2,,,E,E,,15:00,16:00,15:00-16:00,,,,15:07,7,Ae. aegypti,2,1,0,0
FMT-201,2,,,E,E,,18:00,19:00,17:00-19:00,,,,,,,0,0,0,0
FMT-201,2,,,E,E,,21:00,22:00,19:00-22:00,,,,21:24,24,Culex sp.,0,0,0,0
FMT-301,3,,,E,E,,6:00,7:00,6:00-9:00,,,,,,,0,0,0,0
FMT-301,3,,,E,E,,9:00,10:00,9:00-10:00,,,,,,,0,0,0,0
FMT-301,3,,,E,E,,12:00,13:00,12:00-13:00,,,,,,,0,0,0,0
FMT-301,3,,,E,E,,15:00,16:00,15:00-16:00,,,,,,,0,0,0,0
FMT-301,3,,,E,E,,18:00,19:00,17:00-19:00,,,,,,,0,0,0,0
FMT-301,3,,,E,E,,21:00,22:00,19:00-22:00,,,,21:14,14,Culex sp.,0,0,0,0
FMT-101,1,-3.088089,-60.035399,E,E,3/31/2022,6:16,7:17,6:00-9:00,heavy cloud,26.9,91.3,,,,0,0,0,0
FMT-101,1,-3.088089,-60.035399,F,F,3/31/2022,8:55,10:00,9:00-10:00,medium cloud,27.8,87.1,,,,0,0,0,0
FMT-101,1,-3.088089,-60.035399,F,F,3/31/2022,12:00,13:00,12:00-13:00,light cloud,29.6,81.4,,,,0,0,0,0
FMT-101,1,-3.088089,-60.035399,F,F,3/31/2022,15:00,16:00,15:00-16:00,heavy cloud,29.5,77.2,,,,0,0,0,0
FMT-101,1,-3.088089,-60.035399,E,E,3/31/2022,18:00,19:00,17:00-19:00,light cloud,27,88.5,,,,0,0,0,0
FMT-202,2,-3.0873694,-60.0352944,C,C,4/1/2022,6:00,7:00,6:00-9:00,clear,25.3,94.2,6:14,14,Ps. spp,0,0,0,0
FMT-202,2,-3.0873694,-60.0352944,A,A,4/1/2022,9:00,10:00,9:00-10:00,clear,40.1,31,,,,0,0,0,0
FMT-202,2,-3.0873694,-60.0352944,A,A,4/1/2022,12:00,13:00,12:00-13:00,light cloud,33.8,53.2,,,,0,0,0,0
FMT-202,2,-3.0873694,-60.0352944,E,E,4/1/2022,15:00,16:00,15:00-16:00,medium cloud,30.6,71.3,,,,0,0,0,0
