"ID","day","cytokine","sex","group","value","LOD","fold_change_baseline","NHP","virus","baseline","inf_status","exp","bites_of_the_day","bites_of_yesterday","cumul_bites_up_to_daym1","cumul_bites_2_previous_days","cumul_bites_3_previous_days","cumul_bites_4_previous_days","cumul_bites_7_previous_days"
"5080",8,"GM.CSF","F","Squirrel.Zika virus",17,17,NA,"Squirrel","Zika virus",17,"Control","zikv_squirrel",4,0,25,0,0,2,15
"5080",8,"IL.12","F","Squirrel.Zika virus",110.63,110.63,NA,"Squirrel","Zika virus",110.63,"Control","zikv_squirrel",4,0,25,0,0,2,15
"5080",8,"IL.17","F","Squirrel.Zika virus",31.32,31.32,NA,"Squirrel","Zika virus",31.32,"Control","zikv_squirrel",4,0,25,0,0,2,15
"5080",8,"TNF.alpha","F","Squirrel.Zika virus",14.46,14.46,NA,"Squirrel","Zika virus",14.46,"Control","zikv_squirrel",4,0,25,0,0,2,15
"5080",8,"MIF","F","Squirrel.Zika virus",117.24,8.24,0.361249768903679,"Squirrel","Zika virus",324.54,"Control","zikv_squirrel",4,0,25,0,0,2,15
"5080",8,"MIP.1a","F","Squirrel.Zika virus",28.4,28.4,NA,"Squirrel","Zika virus",28.4,"Control","zikv_squirrel",4,0,25,0,0,2,15
"5080",8,"IFN.g","F","Squirrel.Zika virus",15.43,15.43,NA,"Squirrel","Zika virus",15.43,"Control","zikv_squirrel",4,0,25,0,0,2,15
"5929",-7,"G.CSF","F","Squirrel.Zika virus",113.59,113.59,NA,"Squirrel","Zika virus",113.59,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5929",-7,"IP.10","F","Squirrel.Zika virus",4.35,4.35,NA,"Squirrel","Zika virus",4.35,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5929",-7,"GM.CSF","F","Squirrel.Zika virus",17,17,NA,"Squirrel","Zika virus",17,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5929",-7,"IFN.g","F","Squirrel.Zika virus",15.43,15.43,NA,"Squirrel","Zika virus",15.43,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5929",-7,"IL.8","F","Squirrel.Zika virus",11.66,11.66,NA,"Squirrel","Zika virus",11.66,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5929",-7,"IL.2","F","Squirrel.Zika virus",43.77,43.77,NA,"Squirrel","Zika virus",43.77,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5929",-7,"I.TAC","F","Squirrel.Zika virus",45.24,32.04,1,"Squirrel","Zika virus",45.24,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5929",-7,"Eotaxin","F","Squirrel.Zika virus",2.39,2.39,NA,"Squirrel","Zika virus",2.39,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5929",-7,"RANTES","F","Squirrel.Zika virus",18.9,8.68,1,"Squirrel","Zika virus",18.9,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5929",-7,"TNF.alpha","F","Squirrel.Zika virus",14.46,14.46,NA,"Squirrel","Zika virus",14.46,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5929",-7,"IL.12","F","Squirrel.Zika virus",110.63,110.63,NA,"Squirrel","Zika virus",110.63,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5929",-7,"MDC","F","Squirrel.Zika virus",295.16,295.16,NA,"Squirrel","Zika virus",295.16,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5929",-7,"IL.15","F","Squirrel.Zika virus",76.04,76.04,NA,"Squirrel","Zika virus",76.04,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5929",-7,"HGF","F","Squirrel.Zika virus",70.66,70.66,NA,"Squirrel","Zika virus",70.66,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5929",-7,"TGFbeta","F","Squirrel.Zika virus",2.91,2.91,NA,"Squirrel","Zika virus",2.91,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5929",-7,"MIP.1a","F","Squirrel.Zika virus",28.4,28.4,NA,"Squirrel","Zika virus",28.4,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5929",-7,"MIF","F","Squirrel.Zika virus",124.38,8.24,1,"Squirrel","Zika virus",124.38,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5929",-7,"VEGF","F","Squirrel.Zika virus",0.96,0.96,NA,"Squirrel","Zika virus",0.96,"Control","zikv_squirrel",0,0,0,0,0,0,0
"5929",-7,"IL.1B","F","Squirrel.Zika virus",12.14,12.14,NA,"Squirrel","Zika virus",12.14,"Control","zikv_squirrel",0,0,0,0,0,0,0
